date,open,high,low,close,volume,symbol
2023-04-28 00:00:00+00:00,33797.43,34104.56,33728.4,34098.16,354310000.0,YAHOO
2023-04-27 00:00:00+00:00,33381.66,33859.75,33374.65,33826.16,343240000.0,YAHOO
2023-04-26 00:00:00+00:00,33596.34,33645.83,33235.85,33301.87,321170000.0,YAHOO
2023-04-25 00:00:00+00:00,33828.34,33875.49,33525.39,33530.83,297880000.0,YAHOO
2023-04-24 00:00:00+00:00,33805.04,33891.15,33726.09,33875.4,252020000.0,YAHOO
2023-04-21 00:00:00+00:00,33793.6,33858.83,33688.57,33808.96,291080000.0,YAHOO
2023-04-20 00:00:00+00:00,33740.6,33875.39,33677.74,33786.62,307910000.0,YAHOO
2023-04-19 00:00:00+00:00,33889.83,33957.98,33814.65,33897.01,251490000.0,YAHOO
2023-04-18 00:00:00+00:00,33965.16,34018.62,33791.89,33976.63,253570000.0,YAHOO
2023-04-17 00:00:00+00:00,33930.46,33991.23,33796.91,33987.18,234530000.0,YAHOO
2023-04-14 00:00:00+00:00,33981.71,34082.94,33730.85,33886.47,276720000.0,YAHOO
2023-04-13 00:00:00+00:00,33668.97,34054.99,33605.17,34029.69,277230000.0,YAHOO
2023-04-12 00:00:00+00:00,33764.21,33895.43,33593.32,33646.5,260300000.0,YAHOO
2023-04-11 00:00:00+00:00,33586.75,33781.29,33586.75,33684.79,241430000.0,YAHOO
2023-04-10 00:00:00+00:00,33425.25,33590.24,33343.43,33586.52,232920000.0,YAHOO
2023-04-06 00:00:00+00:00,33420.96,33525.96,33325.37,33485.29,258680000.0,YAHOO
2023-04-05 00:00:00+00:00,33394.6,33543.84,33376.27,33482.72,286660000.0,YAHOO
2023-04-04 00:00:00+00:00,33594.79,33634.72,33275.62,33402.38,283360000.0,YAHOO
2023-04-03 00:00:00+00:00,33245.78,33632.9,33245.78,33601.15,311890000.0,YAHOO
2023-03-31 00:00:00+00:00,32901.96,33291.0,32901.96,33274.15,353740000.0,YAHOO
2023-03-30 00:00:00+00:00,32807.43,32905.8,32682.87,32859.03,283380000.0,YAHOO
2023-03-29 00:00:00+00:00,32566.54,32728.04,32539.94,32717.6,314110000.0,YAHOO
2023-03-28 00:00:00+00:00,32434.85,32551.01,32295.5,32394.25,248560000.0,YAHOO
2023-03-27 00:00:00+00:00,32276.72,32564.0,32276.72,32432.08,291560000.0,YAHOO
2023-03-24 00:00:00+00:00,32038.22,32257.24,31805.18,32237.53,317070000.0,YAHOO
2023-03-23 00:00:00+00:00,32101.49,32511.49,31864.74,32105.25,335430000.0,YAHOO
2023-03-22 00:00:00+00:00,32570.19,32761.89,32020.46,32030.11,325990000.0,YAHOO
2023-03-21 00:00:00+00:00,32420.71,32593.68,32346.12,32560.6,363190000.0,YAHOO
2023-03-20 00:00:00+00:00,31872.33,32280.07,31872.33,32244.58,357210000.0,YAHOO
2023-03-17 00:00:00+00:00,32217.32,32217.32,31728.7,31861.98,712100000.0,YAHOO
2023-03-16 00:00:00+00:00,31827.65,32281.61,31571.46,32246.55,440940000.0,YAHOO
2023-03-15 00:00:00+00:00,31759.87,31906.47,31429.82,31874.57,420910000.0,YAHOO
2023-03-14 00:00:00+00:00,32055.29,32306.59,31805.4,32155.4,391760000.0,YAHOO
2023-03-13 00:00:00+00:00,31819.93,32240.35,31624.87,31819.14,429090000.0,YAHOO
